name,type,rechtswert_gk3,hochwert_gk3,elevation_m_nn,depth_m,remark
GW1,deep_well,3482716,5531913,160.18,30.00,filtered 3-30 m u. GOK (crystalline)
GW2,deep_well,3482713,5531871,160.45,40.00,filtered 9-40 m u. GOK (crystalline)
GW3,deep_well,3482717,5531832,148.74,45.00,filtered 36.5-45 m u. GOK (crystalline)
GW4,deep_well,3482631,5531857,159.56,30.00,filtered 6-30 m u. GOK (crystalline)
GW5,deep_well,3482784,5531874,159.82,30.00,filtered 4-30 m u. GOK (crystalline)
KP101,piezometer,3482405,5531264,142.07,3.00,
KP103,piezometer,3482449,5531266,118.05,3.00,
KP104,piezometer,3482470,5531262,118.09,3.00,
KP105,piezometer,3482501,5531263,108.03,3.00,
KP111,piezometer,3482456,5531090,134.92,3.00,
KP112,piezometer,3482461,5531094,130.88,3.00,
KP113,piezometer,3482477,5531108,120.60,3.00,
KP114,piezometer,3482500,5531134,111.33,3.00,
KP115,piezometer,3482543,5531183,107.61,3.00,
KP121,piezometer,3482379,5531192,148.09,3.00,
KP122,piezometer,3482395,5531190,147.13,3.00,
KP123,piezometer,3482428,5531168,131.74,3.00,
KP124,piezometer,3482465,5531174,115.62,3.00,
KP125,piezometer,3482506,5531181,111.39,3.00,
KP131,piezometer,3482370,5531347,148.50,3.00,
KP132,piezometer,3482396,5531343,136.08,3.00,
KP133,piezometer,3482426,5531345,127.29,3.00,
KP134,piezometer,3482451,5531347,125.69,3.00,
KP135,piezometer,3482492,5531352,114.27,3.00,
KP201,piezometer,3482524,5531553,129.29,3.00,
KP202,piezometer,3482533,5531535,128.12,3.00,
KP203,piezometer,3482560,5531477,119.24,3.00,
KP204,piezometer,3482567,5531460,113.14,3.00,
KP205,piezometer,3482598,5531409,107.18,3.00,
KP211,piezometer,3482441,5531449,135.11,3.00,
KP212,piezometer,3482456,5531428,129.69,3.00,
KP213,piezometer,3482476,5531407,121.11,3.00,
KP214,piezometer,3482517,5531392,112.21,3.00,
KP215,piezometer,3482530,5531376,110.56,3.00,
KP220,piezometer,3482569,5531568,121.75,3.00,
KP221,piezometer,3482600,5531647,130.37,3.00,
KP222,piezometer,3482599,5531573,124.22,3.00,
KP223,piezometer,3482617,5531578,122.05,3.00,
KP224,piezometer,3482653,5531516,111.20,3.00,
KP225,piezometer,3482650,5531488,107.87,3.00,
KP301,piezometer,3482791,5531770,154.23,3.00,
KP302,piezometer,3482777,5531723,155.24,3.00,
KP303,piezometer,3482806,5531675,139.37,3.00,
KP304,piezometer,3482800,5531645,132.16,3.00,
KP305,piezometer,3482794,5531576,117.53,3.00,
KP311,piezometer,3482643,5531841,150.93,3.00,
KP312,piezometer,3482644,5531837,150.40,3.00,
KP313,piezometer,3482665,5531762,150.05,3.00,
KP314,piezometer,3482650,5531640,123.05,3.00,
KP315,piezometer,3482665,5531553,114.47,3.00,
KP320,piezometer,3482715,5531857,155.36,3.00,
KP321,piezometer,3482716,5531843,151.98,3.00,
KP322,piezometer,3482728,5531680,137.15,3.00,
KP323,piezometer,3482720,5531661,133.68,3.00,
KP324,piezometer,3482732,5531560,119.34,3.00,
KP325,piezometer,3482734,5531544,111.34,3.00,
KP331,piezometer,3482826,5531879,160.32,3.00,
KP332,piezometer,3482881,5531877,160.70,3.00,
KP333,piezometer,3482799,5531834,151.68,3.00,
KP334,piezometer,3482825,5531840,154.39,3.00,
KP335,piezometer,3482808,5531809,151.55,3.00,
KP336,piezometer,3482958,5531879,158.43,3.00,
KP337,piezometer,3482997,5531858,159.05,3.00,
KP401,piezometer,3483066,5531135,177.76,3.00,
KP402,piezometer,3482873,5531239,120.15,3.00,
KP411,piezometer,3482974,5531440,126.05,3.00,
KP412,piezometer,3482905,5531377,123.18,3.00,
KP413,piezometer,3482868,5531370,116.94,3.00,
KP414,piezometer,3482844,5531347,106.56,3.00,
KP421,piezometer,3483006,5531269,124.52,3.00,
KP422,piezometer,3482936,5531326,124.24,3.00,
KP423,piezometer,3482825,5531383,111.32,3.00,
KP424,piezometer,3482812,5531383,105.80,3.00,
KP431,piezometer,3482997,5531083,176.31,3.00,
KP433,piezometer,3482890,5531149,120.22,3.00,
KP434,piezometer,3482820,5531209,108.45,3.00,
KP435,piezometer,3482774,5531250,104.54,3.00,
KP441,piezometer,3483124,5531776,167.94,3.00,
KP442,piezometer,3483013,5531718,159.99,3.00,
KP443,piezometer,3482852,5531554,119.47,3.00,
KP444,piezometer,3482824,5531571,123.93,3.00,
KP450,piezometer,3483146,5531523,166.24,3.00,
KP451,piezometer,3483120,5531519,163.51,3.00,
KP452,piezometer,3483164,5531711,170.82,3.00,
KP453,piezometer,3482842,5531456,115.00,3.00,
KP454,piezometer,3482884,5531396,119.35,3.00,
KP455,piezometer,3482934,5531256,121.31,3.00,
KP456,piezometer,3482912,5531292,109.66,3.00,
KP501,piezometer,3482795,5530961,175.06,3.00,
KP502,piezometer,3482730,5530973,151.68,3.00,
KP503,piezometer,3482681,5531064,125.95,3.00,
KP504,piezometer,3482672,5531107,123.45,3.00,
KP505,piezometer,3482636,5531161,106.94,3.00,
KP510,piezometer,3482878,5530979,174.97,3.00,
KP511,piezometer,3482803,5531019,139.12,3.00,
KP512,piezometer,3482832,5531050,133.84,3.00,
KP513,piezometer,3482765,5531124,121.27,3.00,
KP514,piezometer,3482763,5531150,113.36,3.00,
KP515,piezometer,3482769,5531178,109.51,3.00,
KP516,piezometer,3482932,5531042,175.22,3.00,
KP521,piezometer,3482684,5530917,171.62,3.00,
KP522,piezometer,3482679,5530931,160.87,3.00,
KP523,piezometer,3482608,5531066,122.94,3.00,
KP524,piezometer,3482631,5531142,109.47,3.00,
KP525,piezometer,3482587,5531129,106.69,3.00,
IN1,inclinometer,3482392,5531266,142.58,31.00,
IN2,inclinometer,3482484,5531262,112.54,28.60,sheared off
IN3,inclinometer,3482535,5531509,122.71,39.00,sheared off
IN4,inclinometer,3482576,5531446,110.93,23.00,
IN5,inclinometer,3482817,5531761,154.34,50.00,sheared off
IN6,inclinometer,3482753,5531660,133.96,40.00,
IN7,inclinometer,3482785,5531550,113.20,24.80,sheared off
IN8,inclinometer,3482900,5531214,120.12,32.80,sheared off
IN9,inclinometer,3482851,5531257,109.98,19.50,
IN10,inclinometer,3482730,5530963,156.33,22.30,
IN11,inclinometer,3482676,5531075,125.27,27.00,sheared off
IN12,inclinometer,3482675,5531156,109.59,22.00,sheared off
IN13,inclinometer,3482589,5531857,159.49,25.80,
IN14,inclinometer,3482591,5531850,159.51,20.70,
IN15,inclinometer,3482713,5531888,159.65,35.00,
